tem,rain,rain%,cloud,pressure,wind,gust,forecast,dateTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
27,0,0,40,1014,6,10,8,2009102521,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,31,1014,6,10,8,2009102600,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,100,1014,4,8,2,2009102603,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,25,1015,5,6,0,2009102606,0,0,0,0,0,0,0,0,0,1,0,0
33,0.2,0,27,1016,5,6,14,2009102609,0,0,0,0,0,0,0,0,0,1,0,0
32,0.8,0,32,1014,4,4,18,2009102612,0,0,0,0,0,0,0,0,0,1,0,0
33,0.3,0,14,1013,8,10,18,2009102615,0,0,0,0,0,0,0,0,0,1,0,0
28,0.1,0,13,1014,10,17,0,2009102618,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,34,1015,5,9,8,2009102621,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,100,1014,4,8,2,2009102700,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,100,1014,4,8,2,2009102703,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,36,1015,6,8,14,2009102706,0,0,0,0,0,0,0,0,0,1,0,0
32,0.4,0,42,1016,6,7,18,2009102709,0,0,0,0,0,0,0,0,0,1,0,0
31,0,0,33,1014,8,9,14,2009102712,0,0,0,0,0,0,0,0,0,1,0,0
32,0.2,0,15,1013,9,12,18,2009102715,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,21,1014,10,18,0,2009102718,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,31,1016,6,11,8,2009102721,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,29,1016,6,12,8,2009102800,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,100,1015,4,8,2,2009102803,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,29,1017,8,11,14,2009102806,0,0,0,0,0,0,0,0,0,1,0,0
31,0.1,0,18,1018,9,11,0,2009102809,0,0,0,0,0,0,0,0,0,1,0,0
33,0.2,0,14,1016,10,12,18,2009102812,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,29,1015,9,12,14,2009102815,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,14,1016,11,19,0,2009102818,0,0,0,0,0,0,0,0,0,1,0,0
